team,opponent,home_score,away_score,game_duration,attendance,game_start,game_finish
TOR,TBR,7,4,4:15,34649,2008-09-06 15:07:00,2008-09-06 19:22:00
TOR,TBR,1,0,2:39,39854,2008-09-07 13:07:00,2008-09-07 15:46:00
TOR,BAL,0,2,2:35,25746,2008-09-16 19:07:00,2008-09-16 21:42:00
TOR,BAL,8,7,2:41,24546,2008-09-17 19:07:00,2008-09-17 21:48:00
TOR,BAL,3,2,2:36,29063,2008-09-18 19:07:00,2008-09-18 21:43:00
TOR,BOS,3,4,3:16,34982,2008-09-19 19:07:00,2008-09-19 22:23:00
TOR,BOS,6,3,2:40,40554,2008-09-20 15:07:00,2008-09-20 17:47:00
TOR,BOS,0,3,2:43,38814,2008-09-21 13:07:00,2008-09-21 15:50:00
TOR,NYY,1,3,2:49,27216,2008-09-23 19:07:00,2008-09-23 21:56:00
TOR,NYY,2,6,2:46,28701,2008-09-24 19:07:00,2008-09-24 21:53:00
TOR,NYY,8,2,2:33,44346,2008-09-25 19:07:00,2008-09-25 21:40:00
TOR,DET,12,5,2:43,48027,2009-04-06 19:07:00,2009-04-06 21:50:00
TOR,DET,5,4,2:40,16790,2009-04-07 19:07:00,2009-04-07 21:47:00
TOR,DET,1,5,2:25,12145,2009-04-08 19:07:00,2009-04-08 21:32:00
TOR,DET,6,2,2:41,15297,2009-04-09 12:37:00,2009-04-09 15:18:00
TOR,OAK,5,8,3:08,18272,2009-04-17 19:07:00,2009-04-17 22:15:00
TOR,OAK,4,2,3:23,21698,2009-04-18 15:07:00,2009-04-18 18:30:00
TOR,OAK,1,0,2:19,22164,2009-04-19 13:07:00,2009-04-19 15:26:00
TOR,TEX,4,5,2:46,20996,2009-04-21 19:07:00,2009-04-21 21:53:00
TOR,TEX,8,7,3:48,13090,2009-04-22 19:07:00,2009-04-22 22:55:00
TOR,TEX,5,2,2:38,15487,2009-04-23 19:07:00,2009-04-23 21:45:00
TOR,BAL,8,4,2:59,20202,2009-05-01 19:07:00,2009-05-01 22:06:00
TOR,BAL,5,4,3:24,18331,2009-05-02 15:07:00,2009-05-02 18:31:00
TOR,BAL,4,3,2:15,20418,2009-05-03 13:07:00,2009-05-03 15:22:00
TOR,CLE,7,9,3:59,15295,2009-05-04 19:07:00,2009-05-04 23:06:00
TOR,CLE,10,6,3:12,22005,2009-05-05 12:37:00,2009-05-05 15:49:00
TOR,NYY,5,1,2:22,43737,2009-05-12 19:07:00,2009-05-12 21:29:00
TOR,NYY,2,8,3:09,20164,2009-05-13 19:07:00,2009-05-13 22:16:00
TOR,NYY,2,3,2:52,22667,2009-05-14 19:07:00,2009-05-14 21:59:00
TOR,CHW,8,3,2:23,17241,2009-05-15 19:07:00,2009-05-15 21:30:00
TOR,CHW,2,1,2:26,21759,2009-05-16 15:07:00,2009-05-16 17:33:00
TOR,CHW,8,2,2:28,37147,2009-05-17 13:07:00,2009-05-17 15:35:00
TOR,CHW,3,2,2:18,24206,2009-05-18 12:37:00,2009-05-18 14:55:00
TOR,BOS,6,3,2:43,32026,2009-05-29 19:07:00,2009-05-29 21:50:00
TOR,BOS,5,3,2:53,35484,2009-05-30 15:07:00,2009-05-30 18:00:00
TOR,BOS,2,8,3:08,30496,2009-05-31 13:07:00,2009-05-31 16:15:00
TOR,LAA,6,4,2:22,26809,2009-06-02 19:07:00,2009-06-02 21:29:00
TOR,LAA,1,8,2:36,17127,2009-06-03 19:07:00,2009-06-03 21:43:00
TOR,LAA,5,6,3:00,31163,2009-06-04 12:37:00,2009-06-04 15:37:00
TOR,KCR,9,3,2:27,15435,2009-06-05 19:07:00,2009-06-05 21:34:00
TOR,KCR,2,6,2:31,16552,2009-06-06 15:07:00,2009-06-06 17:38:00
TOR,KCR,4,0,2:09,21071,2009-06-07 13:07:00,2009-06-07 15:16:00
TOR,FLA,3,7,3:16,17922,2009-06-12 19:07:00,2009-06-12 22:23:00
TOR,FLA,5,6,3:06,20634,2009-06-13 15:07:00,2009-06-13 18:13:00
TOR,FLA,3,11,2:38,20985,2009-06-14 13:07:00,2009-06-14 15:45:00
TOR,CIN,7,5,2:56,30351,2009-06-23 19:07:00,2009-06-23 22:03:00
TOR,CIN,8,2,2:48,15409,2009-06-24 19:07:00,2009-06-24 21:55:00
TOR,CIN,5,7,2:49,15329,2009-06-25 19:07:00,2009-06-25 21:56:00
TOR,PHI,6,1,2:56,21331,2009-06-26 19:07:00,2009-06-26 22:03:00
TOR,PHI,0,10,2:37,28801,2009-06-27 15:07:00,2009-06-27 17:44:00
TOR,PHI,4,5,3:04,36379,2009-06-28 13:07:00,2009-06-28 16:11:00
TOR,TBR,1,4,2:32,15665,2009-06-29 19:07:00,2009-06-29 21:39:00
TOR,TBR,1,4,3:07,15477,2009-06-30 19:07:00,2009-06-30 22:14:00
TOR,TBR,5,0,2:24,30533,2009-07-01 12:37:00,2009-07-01 15:01:00
TOR,BOS,1,4,2:55,32928,2009-07-17 19:07:00,2009-07-17 22:02:00
TOR,BOS,6,2,2:43,36926,2009-07-18 15:07:00,2009-07-18 17:50:00
TOR,BOS,3,1,2:15,36534,2009-07-19 13:07:00,2009-07-19 15:22:00
TOR,CLE,1,2,2:40,18330,2009-07-21 19:07:00,2009-07-21 21:47:00
TOR,CLE,10,6,3:01,18375,2009-07-22 19:07:00,2009-07-22 22:08:00
TOR,CLE,4,5,2:46,32061,2009-07-23 12:37:00,2009-07-23 15:23:00
TOR,TBR,2,4,2:50,24161,2009-07-24 19:07:00,2009-07-24 21:57:00
TOR,TBR,9,10,4:24,26527,2009-07-25 15:07:00,2009-07-25 19:31:00
TOR,TBR,5,1,2:25,30610,2009-07-26 13:07:00,2009-07-26 15:32:00
TOR,NYY,3,5,2:35,33669,2009-08-04 19:07:00,2009-08-04 21:42:00
TOR,NYY,4,8,3:13,31402,2009-08-05 19:07:00,2009-08-05 22:20:00
TOR,BAL,5,7,2:54,30795,2009-08-07 19:07:00,2009-08-07 22:01:00
TOR,BAL,3,2,3:12,28613,2009-08-08 15:07:00,2009-08-08 18:19:00
TOR,BAL,7,3,2:40,27464,2009-08-09 13:07:00,2009-08-09 15:47:00
TOR,BOS,9,10,3:28,25472,2009-08-18 19:07:00,2009-08-18 22:35:00
TOR,BOS,1,6,2:57,25925,2009-08-19 19:07:00,2009-08-19 22:04:00
TOR,BOS,1,8,2:41,22817,2009-08-20 19:07:00,2009-08-20 21:48:00
TOR,LAA,5,4,2:56,15993,2009-08-21 19:07:00,2009-08-21 22:03:00
TOR,LAA,3,7,2:41,23235,2009-08-22 15:07:00,2009-08-22 17:48:00
TOR,LAA,8,3,3:17,23935,2009-08-23 13:07:00,2009-08-23 16:24:00
TOR,TBR,7,12,2:52,17184,2009-08-24 19:07:00,2009-08-24 21:59:00
TOR,TBR,3,7,3:13,17307,2009-08-25 19:07:00,2009-08-25 22:20:00
TOR,TBR,3,2,3:47,15349,2009-08-26 19:07:00,2009-08-26 22:54:00
TOR,NYY,5,10,3:37,22773,2009-09-03 19:07:00,2009-09-03 22:44:00
TOR,NYY,6,0,2:37,22179,2009-09-04 19:07:00,2009-09-04 21:44:00
TOR,NYY,4,6,3:52,31295,2009-09-05 15:07:00,2009-09-05 18:59:00
TOR,NYY,14,8,3:26,30873,2009-09-06 13:07:00,2009-09-06 16:33:00
TOR,MIN,3,6,2:56,13153,2009-09-07 12:37:00,2009-09-07 15:33:00
TOR,MIN,6,3,2:54,13488,2009-09-08 19:07:00,2009-09-08 22:01:00
TOR,MIN,1,4,2:23,11159,2009-09-09 19:07:00,2009-09-09 21:30:00
TOR,MIN,3,2,2:39,11461,2009-09-10 12:37:00,2009-09-10 15:16:00
TOR,BAL,9,2,2:56,11598,2009-09-21 19:07:00,2009-09-21 22:03:00
TOR,BAL,6,5,3:10,11869,2009-09-22 19:07:00,2009-09-22 22:17:00
TOR,BAL,7,3,2:37,13743,2009-09-23 19:07:00,2009-09-23 21:44:00
TOR,SEA,4,5,2:55,15306,2009-09-24 19:07:00,2009-09-24 22:02:00
TOR,SEA,5,0,2:11,20668,2009-09-25 19:07:00,2009-09-25 21:18:00
TOR,SEA,5,4,3:11,29783,2009-09-26 15:07:00,2009-09-26 18:18:00
TOR,SEA,5,4,2:32,39052,2009-09-27 13:07:00,2009-09-27 15:39:00
TOR,CHW,7,8,3:29,46321,2010-04-12 19:07:00,2010-04-12 22:36:00
